Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
10,340461476,1000,2304,0,0,2304,3331,0,84219,157000,78500,743,0,0,0,0,0,253,71,0,13870.5,0.0737042,0,0,0,2304,0,0,0,743,0,0,0,0,0,0,0,0,0,0
11,340461476,1000,2013,0,0,2013,3051,0,89797,151600,75800,731,0,0,0,0,0,207,84,0,14680.5,0.0883472,0,0,0,2013,0,0,0,731,0,0,0,0,0,0,0,0,0,0
12,340461476,1000,1767,0,0,1767,2792,0,95831,126400,63200,596,0,0,0,0,0,191,55,0,14804.3,0.0968371,0,0,0,1767,0,0,0,596,0,0,0,0,0,0,0,0,0,0
13,340461476,1000,1565,0,0,1565,2536,0,101441,104800,52400,498,0,0,0,0,0,153,49,0,15130.3,0.117123,0,0,0,1565,0,0,0,498,0,0,0,0,0,0,0,0,0,0
14,340461476,1000,1349,0,0,1349,2295,0,106689,101800,50900,483,0,0,0,0,0,154,62,0,15604.3,0.144373,0,0,0,1349,0,0,0,483,0,0,0,0,0,0,0,0,0,0
15,340461476,1000,1174,0,0,1174,2090,0,112445,85600,42800,409,0,0,0,0,0,135,40,0,15364.1,0.153284,0,0,0,1174,0,0,0,409,0,0,0,0,0,0,0,0,0,0
16,340461476,1000,1029,0,0,1029,1891,0,116889,70000,35000,329,0,0,0,0,0,113,32,0,16237.2,0.179488,0,0,0,1029,0,0,0,329,0,0,0,0,0,0,0,0,0,0
17,340461476,1000,912,0,0,912,1688,0,121939,67800,33900,317,0,0,0,0,0,89,28,0,16312.7,0.23196,0,0,0,912,0,0,0,317,0,0,0,0,0,0,0,0,0,0
18,340461476,1000,789,0,0,789,1529,0,126651,57400,28700,272,0,0,0,0,0,89,34,0,16541.5,0.240601,0,0,0,789,0,0,0,272,0,0,0,0,0,0,0,0,0,0
19,340461476,1000,700,0,0,700,1372,0,131047,47600,23800,229,0,0,0,0,0,69,20,0,16908.3,0.28818,0,0,0,700,0,0,0,229,0,0,0,0,0,0,0,0,0,0
20,340461476,1000,608,0,0,608,1253,0,135389,44200,22100,212,0,0,0,0,0,75,17,0,17157.5,0.355217,0,0,0,608,0,0,0,212,0,0,0,0,0,0,0,0,0,0
21,340461476,1000,525,0,0,525,1157,0,139403,37200,18600,179,0,0,0,0,0,63,20,0,17569.2,0.388178,0,0,0,525,0,0,0,179,0,0,0,0,0,0,0,0,0,0
22,340461476,1000,472,0,0,472,1058,0,143812,33200,16600,155,0,0,0,0,0,38,15,0,17426.5,0.47229,0,0,0,472,0,0,0,155,0,0,0,0,0,0,0,0,0,0
23,340461476,1000,427,0,0,427,976,2082,145645,31000,15500,148,0,0,0,0,0,36,9,0,19706,0.524893,0,0,0,427,0,0,0,148,0,0,0,0,0,0,0,0,0,0
24,340461476,1000,370,0,0,370,881,2899,150600,25400,12700,121,0,0,0,0,0,41,16,0,18715.3,0.635676,0,0,0,370,0,0,0,121,0,0,0,0,0,0,0,0,0,0
25,340461476,1000,330,0,0,330,797,3920,153595,22400,11200,107,0,0,0,0,0,30,10,0,19541.8,0.736823,0,0,0,330,0,0,0,107,0,0,0,0,0,0,0,0,0,0
26,340461476,1000,292,0,0,292,727,4779,157462,22200,11100,108,0,0,0,0,0,31,7,0,19358.6,0.872401,0,0,0,292,0,0,0,108,0,0,0,0,0,0,0,0,0,0
27,340461476,1000,970,0,0,970,1352,4191,160708,17400,8700,79,0,0,0,720,0,32,10,0,19663.6,0.872007,0,0,0,970,0,0,0,79,0,0,0,0,0,0,0,0,0,0
28,340461476,1000,1103,0,0,1103,1584,4441,161577,16400,8200,667,0,0,0,313,0,111,69,0,22217.7,1,0,0,0,1103,0,0,0,667,0,0,0,0,0,0,0,0,0,0
29,340461476,1000,1386,0,0,1386,1840,4549,161016,14800,7400,332,0,0,0,435,0,113,39,0,26078.5,1,0,0,0,1386,0,0,0,332,0,0,0,0,0,0,0,0,0,0
30,340461476,1000,1602,0,0,1602,2105,4729,159161,10800,5400,416,0,0,0,403,0,154,33,0,31114.3,1,0,0,0,1602,0,0,0,416,0,0,0,0,0,0,0,0,0,0
31,340461476,1000,1810,0,0,1810,2328,4904,153402,93000,46500,791,0,0,0,435,0,158,69,0,39939.5,1,0,0,0,1810,0,0,0,791,0,0,0,0,0,0,0,0,0,0
32,340461476,1000,2027,0,0,2027,2542,5131,176944,47200,23600,610,0,0,0,455,0,181,57,0,19353.3,0.429457,0,0,0,2027,0,0,0,610,0,0,0,0,0,0,0,0,0,0
33,340461476,1000,2221,0,0,2221,2780,5235,178123,59400,29700,671,0,0,0,470,0,208,68,0,21023.5,0.410026,0,0,0,2221,0,0,0,671,0,0,0,0,0,0,0,0,0,0
34,340461476,1000,2421,0,0,2421,2966,5421,180756,109800,54900,925,0,0,0,498,0,213,85,0,21137,0.353931,0,0,0,2421,0,0,0,925,0,0,0,0,0,0,0,0,0,0
35,340461476,1000,2578,0,0,2578,3217,5544,183113,85000,42500,851,0,0,0,462,0,218,87,0,21427.6,0.192505,0,0,0,2578,0,0,0,851,0,0,0,0,0,0,0,0,0,0
36,340461476,1000,2739,0,0,2739,3457,5635,185379,92600,46300,834,0,0,0,510,0,245,104,0,21713.8,0.25209,0,0,0,2739,0,0,0,834,0,0,0,0,0,0,0,0,0,0
37,340461476,1000,2900,0,0,2900,3648,5830,187400,135800,67900,1079,0,0,0,504,0,223,120,0,22153.1,0.234491,0,0,0,2900,0,0,0,1079,0,0,0,0,0,0,0,0,0,0
38,340461476,1000,3058,0,0,3058,3909,5848,190177,119800,59900,1013,0,0,0,541,0,274,109,0,21747.7,0.16313,0,0,0,3058,0,0,0,1013,0,0,0,0,0,0,0,0,0,0
39,340461476,1000,3215,0,0,3215,4073,6074,192010,117800,58900,1028,0,0,0,534,0,278,99,0,22200.8,0.181533,0,0,0,3215,0,0,0,1028,0,0,0,0,0,0,0,0,0,0
40,340461476,1000,3331,0,0,3331,4219,6076,194258,150400,75200,1162,0,0,0,568,0,333,119,0,22156.5,0.188462,0,0,0,3331,0,0,0,1162,0,0,0,0,0,0,0,0,0,0
41,340461476,1000,3489,0,0,3489,4437,6157,196094,139800,69900,1166,0,0,0,594,0,319,117,0,22444.9,0.147317,0,0,0,3489,0,0,0,1166,0,0,0,0,0,0,0,0,0,0
42,340461476,1000,3641,0,0,3641,4569,6314,197996,140400,70200,1176,0,0,0,598,0,330,116,0,22590.7,0.16055,0,0,0,3641,0,0,0,1176,0,0,0,0,0,0,0,0,0,0
43,340461476,1000,3745,0,0,3745,4734,6342,199786,162600,81300,1292,0,0,0,583,0,345,134,0,22774.7,0.160902,0,0,0,3745,0,0,0,1292,0,0,0,0,0,0,0,0,0,0
44,340461476,1000,3849,0,0,3849,4880,6393,201316,166000,83000,1295,0,0,0,609,0,358,147,0,23147.5,0.140066,0,0,0,3849,0,0,0,1295,0,0,0,0,0,0,0,0,0,0
45,340461476,1000,3947,0,0,3947,5008,6487,203252,163400,81700,1299,0,0,0,617,0,387,132,0,23045.9,0.139443,0,0,0,3947,0,0,0,1299,0,0,0,0,0,0,0,0,0,0
46,340461476,1000,3997,0,0,3997,5209,6897,204421,177400,88700,1378,0,0,0,556,0,389,117,0,23645.1,0.14104,0,0,0,3997,0,0,0,1378,0,0,0,0,0,0,0,0,0,0
47,340461476,1000,4147,0,0,4147,5315,7003,206624,179800,89900,1341,0,0,0,629,0,348,131,0,23146.6,0.133287,0,0,0,4147,0,0,0,1341,0,0,0,0,0,0,0,0,0,0
48,340461476,1000,4259,0,0,4259,5398,7243,207738,190400,95200,1437,0,0,0,654,0,389,153,0,23675.6,0.128735,0,0,0,4259,0,0,0,1437,0,0,0,0,0,0,0,0,0,0
49,340461476,1000,4353,0,0,4353,5536,7521,209667,199400,99700,1517,0,0,0,617,0,362,161,0,23330.5,0.124347,0,0,0,4353,0,0,0,1517,0,0,0,0,0,0,0,0,0,0
50,340461476,1000,4561,0,0,4561,5802,7110,211170,188400,94200,1429,0,0,0,764,0,419,137,0,23354.3,0.117004,0,0,0,4561,0,0,0,1429,0,0,0,0,0,0,0,0,0,0
51,340461476,1000,4654,0,0,4654,5959,6914,212501,206200,103100,1642,0,0,0,664,0,413,158,0,23495.1,0.123961,0,0,0,4654,0,0,0,1642,0,0,0,0,0,0,0,0,0,0
52,340461476,1000,4736,0,0,4736,6128,6456,214298,214200,107100,1580,0,0,0,692,0,453,157,0,23116.8,0.113943,0,0,0,4736,0,0,0,1580,0,0,0,0,0,0,0,0,0,0
53,340461476,1000,4895,0,0,4895,6254,5571,215865,202000,101000,1572,0,0,0,764,0,455,150,0,22917.5,0.107922,0,0,0,4895,0,0,0,1572,0,0,0,0,0,0,0,0,0,0
54,340461476,1000,4870,0,0,4870,6362,8173,213827,232800,116400,1754,0,0,0,612,0,470,167,0,26273.8,0.113453,0,0,0,4870,0,0,0,1754,0,0,0,0,0,0,0,0,0,0
55,340461476,1000,4812,0,0,4812,6378,8390,217450,222000,111000,1583,0,0,0,580,0,474,164,0,23921.7,0.11286,0,0,0,4812,0,0,0,1583,0,0,0,0,0,0,0,0,0,0
56,340461476,1000,4805,0,0,4805,6283,8858,218336,222400,111200,1556,0,0,0,551,0,410,148,0,24260.7,0.107755,0,0,0,4805,0,0,0,1556,0,0,0,0,0,0,0,0,0,0
57,340461476,1000,4581,0,0,4581,6026,9600,219515,251000,125500,1657,0,0,0,422,0,480,166,0,24262.6,0.109086,0,0,0,4581,0,0,0,1657,0,0,0,0,0,0,0,0,0,0
58,340461476,1000,5482,0,0,5482,6939,8157,220390,224800,112400,1416,0,0,0,1474,0,436,137,0,24526,0.0966638,0,0,0,5482,0,0,0,1416,0,0,0,0,0,0,0,0,0,0
59,340461476,1000,5541,0,0,5541,6988,8229,221823,219000,109500,2303,0,0,0,774,0,523,192,0,24190.3,0.109101,0,0,0,5541,0,0,0,2303,0,0,0,0,0,0,0,0,0,0
60,340461476,1000,5684,0,0,5684,7094,8286,222241,236600,118300,1809,0,0,0,848,0,500,205,0,24830.1,0.110458,0,0,0,5684,0,0,0,1809,0,0,0,0,0,0,0,0,0,0
61,340461476,1000,5763,0,0,5763,7190,8323,223378,202800,101400,1689,0,0,0,796,0,552,165,0,24712.8,0.104945,0,0,0,5763,0,0,0,1689,0,0,0,0,0,0,0,0,0,0
62,340461476,1000,5802,0,0,5802,7298,8344,224787,327000,163500,2231,0,0,0,812,0,556,217,0,24286.7,0.121858,0,0,0,5802,0,0,0,2231,0,0,0,0,0,0,0,0,0,0
63,340461476,1000,5831,0,0,5831,7400,8419,225292,247600,123800,1862,0,0,0,778,0,556,193,0,24729.2,0.0742713,0,0,0,5831,0,0,0,1862,0,0,0,0,0,0,0,0,0,0
64,340461476,1000,5895,0,0,5895,7536,8415,226005,240800,120400,1803,0,0,0,820,0,578,178,0,24929.6,0.0998757,0,0,0,5895,0,0,0,1803,0,0,0,0,0,0,0,0,0,0
65,340461476,1000,5868,0,0,5868,7628,8503,226973,316400,158200,2192,0,0,0,759,0,558,228,0,24842.1,0.103528,0,0,0,5868,0,0,0,2192,0,0,0,0,0,0,0,0,0,0
66,340461476,1000,5906,0,0,5906,7775,8553,228232,265000,132500,1920,0,0,0,805,0,554,213,0,24431.8,0.0785147,0,0,0,5906,0,0,0,1920,0,0,0,0,0,0,0,0,0,0
67,340461476,1000,5993,0,0,5993,7817,8720,228509,252400,126200,1890,0,0,0,827,0,543,197,0,24973,0.0921955,0,0,0,5993,0,0,0,1890,0,0,0,0,0,0,0,0,0,0
68,340461476,1000,6058,0,0,6058,7873,8787,229338,320000,160000,2225,0,0,0,853,0,555,233,0,24932.6,0.098942,0,0,0,6058,0,0,0,2225,0,0,0,0,0,0,0,0,0,0
69,340461476,1000,6164,0,0,6164,7958,8948,229899,266600,133300,2007,0,0,0,837,0,535,196,0,25131.9,0.0779145,0,0,0,6164,0,0,0,2007,0,0,0,0,0,0,0,0,0,0
70,340461476,1000,6260,0,0,6260,8017,9011,229987,267200,133600,2007,0,0,0,877,0,599,182,0,25776.7,0.0942681,0,0,0,6260,0,0,0,2007,0,0,0,0,0,0,0,0,0,0
71,340461476,1000,6328,0,0,6328,8194,9005,231228,313400,156700,2252,0,0,0,870,0,579,223,0,25242.2,0.0964698,0,0,0,6328,0,0,0,2252,0,0,0,0,0,0,0,0,0,0
72,340461476,1000,6339,0,0,6339,8232,9090,231452,284200,142100,2108,0,0,0,853,0,631,211,0,25699.2,0.080543,0,0,0,6339,0,0,0,2108,0,0,0,0,0,0,0,0,0,0
73,340461476,1000,6424,0,0,6424,8378,9070,232869,284400,142200,2093,0,0,0,886,0,599,202,0,24938.6,0.0904264,0,0,0,6424,0,0,0,2093,0,0,0,0,0,0,0,0,0,0
74,340461476,1000,6466,0,0,6466,8458,9032,232937,314000,157000,2248,0,0,0,864,0,587,235,0,25503.4,0.0876886,0,0,0,6466,0,0,0,2248,0,0,0,0,0,0,0,0,0,0
75,340461476,1000,6438,0,0,6438,8533,8945,233659,298000,149000,2149,0,0,0,863,0,643,248,0,25391.4,0.0812211,0,0,0,6438,0,0,0,2149,0,0,0,0,0,0,0,0,0,0
76,340461476,1000,6502,0,0,6502,8573,8982,234408,296800,148400,2133,0,0,0,886,0,630,192,0,25230.5,0.0852062,0,0,0,6502,0,0,0,2133,0,0,0,0,0,0,0,0,0,0
77,340461476,1000,6520,0,0,6520,8673,9170,234363,313600,156800,2212,0,0,0,862,0,641,203,0,25842.3,0.0850083,0,0,0,6520,0,0,0,2212,0,0,0,0,0,0,0,0,0,0
78,340461476,1000,6571,0,0,6571,8771,9283,235385,299000,149500,2162,0,0,0,852,0,590,211,0,25366.7,0.0824052,0,0,0,6571,0,0,0,2162,0,0,0,0,0,0,0,0,0,0
79,340461476,1000,6620,0,0,6620,8796,9434,235585,309400,154700,2221,0,0,0,866,0,611,206,0,25693.4,0.0848384,0,0,0,6620,0,0,0,2221,0,0,0,0,0,0,0,0,0,0
80,340461476,1000,6635,0,0,6635,8787,9441,235866,315800,157900,2242,0,0,0,886,0,641,230,0,25920.1,0.0830427,0,0,0,6635,0,0,0,2242,0,0,0,0,0,0,0,0,0,0
81,340461476,1000,6676,0,0,6676,8866,9512,236382,313000,156500,2230,0,0,0,933,0,672,220,0,25893.6,0.0820777,0,0,0,6676,0,0,0,2230,0,0,0,0,0,0,0,0,0,0
82,340461476,1000,6706,0,0,6706,8920,9348,236872,307000,153500,2265,0,0,0,913,0,641,242,0,25875.4,0.0827271,0,0,0,6706,0,0,0,2265,0,0,0,0,0,0,0,0,0,0
83,340461476,1000,6690,0,0,6690,8980,9331,237348,305200,152600,2205,0,0,0,886,0,665,237,0,25854.2,0.0842847,0,0,0,6690,0,0,0,2205,0,0,0,0,0,0,0,0,0,0
84,340461476,1000,6696,0,0,6696,9079,9379,237851,317800,158900,2256,0,0,0,907,0,684,217,0,25789.6,0.0847124,0,0,0,6696,0,0,0,2256,0,0,0,0,0,0,0,0,0,0
85,340461476,1000,6743,0,0,6743,9162,9185,238693,309400,154700,2241,0,0,0,944,0,699,198,0,25370.3,0.0811505,0,0,0,6743,0,0,0,2241,0,0,0,0,0,0,0,0,0,0
86,340461476,1000,6734,0,0,6734,9141,9360,238660,309200,154600,2322,0,0,0,844,0,640,213,0,25810.7,0.0819982,0,0,0,6734,0,0,0,2322,0,0,0,0,0,0,0,0,0,0
87,340461476,1000,6779,0,0,6779,9189,9361,239190,316800,158400,2225,0,0,0,919,0,648,226,0,25673.4,0.0834756,0,0,0,6779,0,0,0,2225,0,0,0,0,0,0,0,0,0,0
88,340461476,1000,6854,0,0,6854,9250,9361,239002,317800,158900,2303,0,0,0,958,0,655,228,0,26239.9,0.0810397,0,0,0,6854,0,0,0,2303,0,0,0,0,0,0,0,0,0,0
89,340461476,1000,6844,0,0,6844,9213,9421,239482,324800,162400,2371,0,0,0,856,0,645,221,0,26124.8,0.0825675,0,0,0,6844,0,0,0,2371,0,0,0,0,0,0,0,0,0,0
90,340461476,1000,6879,0,0,6879,9220,9407,240033,319800,159900,2255,0,0,0,891,0,629,227,0,25925.6,0.0804336,0,0,0,6879,0,0,0,2255,0,0,0,0,0,0,0,0,0,0
91,340461476,1000,6919,0,0,6919,9261,9439,240109,320400,160200,2282,0,0,0,910,0,647,223,0,26188.7,0.0810682,0,0,0,6919,0,0,0,2282,0,0,0,0,0,0,0,0,0,0
92,340461476,1000,6908,0,0,6908,9359,9360,240497,338600,169300,2386,0,0,0,927,0,684,254,0,26127.6,0.0817376,0,0,0,6908,0,0,0,2386,0,0,0,0,0,0,0,0,0,0
93,340461476,1000,6925,0,0,6925,9379,9454,241008,320200,160100,2329,0,0,0,934,0,677,240,0,25931.7,0.0771636,0,0,0,6925,0,0,0,2329,0,0,0,0,0,0,0,0,0,0
94,340461476,1000,6990,0,0,6990,9376,9539,240765,324200,162100,2337,0,0,0,889,0,615,209,0,26478.4,0.0809859,0,0,0,6990,0,0,0,2337,0,0,0,0,0,0,0,0,0,0
95,340461476,1000,6972,0,0,6972,9404,9745,241144,329800,164900,2323,0,0,0,895,0,677,236,0,26392.3,0.0816732,0,0,0,6972,0,0,0,2323,0,0,0,0,0,0,0,0,0,0
96,340461476,1000,7011,0,0,7011,9410,9799,241862,331000,165500,2313,0,0,0,899,0,655,205,0,25956.5,0.080025,0,0,0,7011,0,0,0,2313,0,0,0,0,0,0,0,0,0,0
97,340461476,1000,7041,0,0,7041,9458,9675,242064,339600,169800,2358,0,0,0,942,0,678,234,0,26026.6,0.0784184,0,0,0,7041,0,0,0,2358,0,0,0,0,0,0,0,0,0,0
98,340461476,1000,7088,0,0,7088,9558,9671,242447,323800,161900,2358,0,0,0,927,0,651,229,0,25905.8,0.0766389,0,0,0,7088,0,0,0,2358,0,0,0,0,0,0,0,0,0,0
99,340461476,1000,7117,0,0,7117,9633,9628,242123,334600,167300,2377,0,0,0,956,0,693,234,0,26482.7,0.0800057,0,0,0,7117,0,0,0,2377,0,0,0,0,0,0,0,0,0,0
100,340461476,1000,7123,0,0,7123,9595,9635,243063,336000,168000,2430,0,0,0,929,0,688,235,0,25786.4,0.0791472,0,0,0,7123,0,0,0,2430,0,0,0,0,0,0,0,0,0,0
101,340461476,1000,7131,0,0,7131,9558,9751,242993,331000,165500,2392,0,0,0,918,0,673,237,0,26091.3,0.0767452,0,0,0,7131,0,0,0,2392,0,0,0,0,0,0,0,0,0,0
102,340461476,1000,7115,0,0,7115,9565,9820,243454,331400,165700,2356,0,0,0,919,0,703,232,0,25856.8,0.0788257,0,0,0,7115,0,0,0,2356,0,0,0,0,0,0,0,0,0,0
103,340461476,1000,7159,0,0,7159,9569,9890,243277,340200,170100,2428,0,0,0,970,0,684,242,0,26252.1,0.0780229,0,0,0,7159,0,0,0,2428,0,0,0,0,0,0,0,0,0,0
104,340461476,1000,7223,0,0,7223,9618,9914,243826,344000,172000,2452,0,0,0,919,0,631,224,0,25913.5,0.0771666,0,0,0,7223,0,0,0,2452,0,0,0,0,0,0,0,0,0,0
105,340461476,1000,7189,0,0,7189,9770,9908,243612,332400,166200,2361,0,0,0,923,0,719,238,0,26330.4,0.07533,0,0,0,7189,0,0,0,2361,0,0,0,0,0,0,0,0,0,0
106,340461476,1000,7233,0,0,7233,9818,10014,243930,345200,172600,2414,0,0,0,983,0,716,223,0,26207.9,0.0792129,0,0,0,7233,0,0,0,2414,0,0,0,0,0,0,0,0,0,0
107,340461476,1000,7329,0,0,7329,9853,9944,244286,348400,174200,2475,0,0,0,1019,0,680,243,0,26040.4,0.0759209,0,0,0,7329,0,0,0,2475,0,0,0,0,0,0,0,0,0,0
108,340461476,1000,7365,0,0,7365,9878,9843,244299,331200,165600,2455,0,0,0,978,0,705,237,0,26209.1,0.0747428,0,0,0,7365,0,0,0,2455,0,0,0,0,0,0,0,0,0,0
109,340461476,1000,7428,0,0,7428,9896,9940,244245,342800,171400,2475,0,0,0,942,0,635,244,0,26438.3,0.0791338,0,0,0,7428,0,0,0,2475,0,0,0,0,0,0,0,0,0,0
110,340461476,1000,7459,0,0,7459,9888,9874,244204,355800,177900,2496,0,0,0,977,0,705,241,0,26648.1,0.0771245,0,0,0,7459,0,0,0,2496,0,0,0,0,0,0,0,0,0,0
111,340461476,1000,7473,0,0,7473,9893,9872,244551,349000,174500,2490,0,0,0,954,0,691,249,0,26463.9,0.0748964,0,0,0,7473,0,0,0,2490,0,0,0,0,0,0,0,0,0,0
112,340461476,1000,7513,0,0,7513,9849,9921,244734,355200,177600,2517,0,0,0,955,0,670,245,0,26437.8,0.0758277,0,0,0,7513,0,0,0,2517,0,0,0,0,0,0,0,0,0,0
113,340461476,1000,7492,0,0,7492,9926,9795,245035,359400,179700,2531,0,0,0,981,0,755,247,0,26288,0.0744307,0,0,0,7492,0,0,0,2531,0,0,0,0,0,0,0,0,0,0
114,340461476,1000,7439,0,0,7439,9968,9831,244872,349800,174900,2503,0,0,0,924,0,739,238,0,26596.8,0.0731442,0,0,0,7439,0,0,0,2503,0,0,0,0,0,0,0,0,0,0
115,340461476,1000,7483,0,0,7483,9920,9867,244915,351600,175800,2455,0,0,0,996,0,713,239,0,26694.3,0.0760343,0,0,0,7483,0,0,0,2455,0,0,0,0,0,0,0,0,0,0
116,340461476,1000,7463,0,0,7463,9900,9884,245432,351000,175500,2511,0,0,0,937,0,713,244,0,26312.8,0.0759225,0,0,0,7463,0,0,0,2511,0,0,0,0,0,0,0,0,0,0
117,340461476,1000,7444,0,0,7444,9913,9982,245013,363000,181500,2500,0,0,0,919,0,689,249,0,26862.4,0.0749653,0,0,0,7444,0,0,0,2500,0,0,0,0,0,0,0,0,0,0
118,340461476,1000,7510,0,0,7510,9919,9953,246209,350000,175000,2464,0,0,0,994,0,690,238,0,25792.3,0.0740011,0,0,0,7510,0,0,0,2464,0,0,0,0,0,0,0,0,0,0
119,340461476,1000,7445,0,0,7445,9974,10046,245780,358800,179400,2559,0,0,0,941,0,738,268,0,26342.7,0.0736923,0,0,0,7445,0,0,0,2559,0,0,0,0,0,0,0,0,0,0
120,340461476,1000,7474,0,0,7474,10013,10114,245710,354600,177300,2491,0,0,0,993,0,720,244,0,26529.6,0.0734188,0,0,0,7474,0,0,0,2491,0,0,0,0,0,0,0,0,0,0
121,340461476,1000,7552,0,0,7552,10067,9967,245810,350800,175400,2501,0,0,0,1050,0,711,261,0,26542.4,0.0748156,0,0,0,7552,0,0,0,2501,0,0,0,0,0,0,0,0,0,0
122,340461476,1000,7468,0,0,7468,10032,9988,246181,361400,180700,2607,0,0,0,947,0,759,272,0,26280.1,0.0756625,0,0,0,7468,0,0,0,2607,0,0,0,0,0,0,0,0,0,0
123,340461476,1000,7497,0,0,7497,9959,10058,245823,345400,172700,2456,0,0,0,993,0,718,246,0,26742.9,0.0727176,0,0,0,7497,0,0,0,2456,0,0,0,0,0,0,0,0,0,0
124,340461476,1000,7610,0,0,7610,9962,9986,246188,352800,176400,2538,0,0,0,1042,0,677,252,0,26478.9,0.0774259,0,0,0,7610,0,0,0,2538,0,0,0,0,0,0,0,0,0,0
125,340461476,1000,7567,0,0,7567,10046,10052,246665,367000,183500,2623,0,0,0,922,0,711,254,0,26099.3,0.0750536,0,0,0,7567,0,0,0,2623,0,0,0,0,0,0,0,0,0,0
126,340461476,1000,7559,0,1,7558,10076,10010,246417,350400,175200,2445,0,0,0,991,0,751,248,0,26441.2,0.0711152,0,0,0,7558,1,0,0,2445,0,0,1,0,1,0,0,0,0,0
127,340461476,1000,7542,0,6,7536,10180,9991,246277,360800,180400,2589,0,0,0,954,0,734,237,0,26671.6,0.0754599,0,0,0,7536,6,0,0,2589,0,0,6,0,23,0,0,0,0,0
128,340461476,1000,7532,0,26,7506,10187,10106,246656,367000,183500,2566,0,0,0,986,0,722,274,0,26379.8,0.0739236,0,0,0,7506,26,0,0,2566,0,0,26,0,85,0,0,0,0,0
